i,A,C,required_margin,required_argmin_y,stored_margin,stored_argmin_y,abs_margin_diff,abs_argmin_y_diff,num_check_points,d0,w0,pi0,d1,w1,pi1,d2,w2,pi2,d3,w3,pi3
52,1.8073094642857142,1.8071139732142856,0.004368251564067394,2.7064862477923217,0.004368251564067394,2.706486247792691,0.0,3.694822225952521e-13,5,1.8174751,2.713207036380106,52,2.5579349999999996,0.0,52,2.675015475,0.0,52,2.7844905749999995,0.2668856358092361,52
53,1.8071139732142856,1.806918482142857,0.004418085344890521,2.7071240421273455,0.004418085344890632,2.7071240421312615,1.1102230246251565e-16,3.915978652457852e-12,5,1.8174751,2.731102347251483,53,2.5579349999999996,0.0,53,2.675015475,0.0,53,2.7844905749999995,0.2660836937382521,53
54,1.806918482142857,1.8067229910714284,0.004462519444735746,2.7077623192000795,0.004462519444735746,2.7077623191998113,0.0,2.682298827494378e-13,5,1.8174751,2.7492407634701235,54,2.5579349999999996,0.0,54,2.675015475,0.0,54,2.7844905749999995,0.2652761768002329,54
55,1.8067229910714284,1.8065274999999998,0.004501422575475589,2.7084010800180716,0.004501422575475589,2.7084010800194873,0.0,1.4157564010019996e-12,5,1.8174751,2.767627551382381,55,2.5579349999999996,0.0,55,2.675015475,0.0,55,2.7844905749999995,0.2644629919370902,55
56,1.8065275,1.8063320089285715,0.004534659352306236,2.7090403255927438,0.004534659352306014,2.7090403255980324,2.220446049250313e-16,5.288658400104396e-12,5,1.8174751000000002,2.786268134675323,56,2.557935,0.0,56,2.675015475,0.0,56,2.784490575,0.2636440437011112,56
57,1.8063320089285715,1.806136517857143,0.004562090133096386,2.7096800569394333,0.004562090133096497,2.7096800569482054,1.1102230246251565e-16,8.772094162168287e-12,5,1.8174751,2.8051681003945768,57,2.557935,0.0,57,2.675015475,0.0,57,2.784490575,0.2628192341725981,57
58,1.806136517857143,1.8059410267857143,0.004583570850069996,2.7103202750774127,0.004583570850070107,2.7103202750713695,1.1102230246251565e-16,6.043165967639652e-12,5,1.8174751,2.8243332052425902,58,2.557935,0.0,58,2.675015475,0.0,58,2.784490575,0.26198846287398997,58
59,1.8059410267857143,1.8057455357142858,0.004598952833450576,2.7109609810299364,0.004598952833450465,2.7109609810261848,1.1102230246251565e-16,3.751665644813329e-12,5,1.8174751,2.843769382175007,59,2.557935,0.0,59,2.675015475,0.0,59,2.784490575,0.26115162668020964,59
60,1.8057455357142858,1.8055500446428572,0.004608082626504362,2.7116021758242397,0.004608082626504473,2.7116021758325157,1.1102230246251565e-16,8.276046514765767e-12,5,1.8174751,2.863482747309151,60,2.557935,0.0,60,2.675015475,0.0,60,2.784490575,0.26030861972511343,60
61,1.8055500446428572,1.8053545535714286,0.004610801791677277,2.7122438604916086,0.004610801791677166,2.7122438604970043,1.1102230246251565e-16,5.395683899678261e-12,5,1.8174751,2.883479607166275,61,2.557935,0.0,61,2.675015475,0.0,61,2.784490575,0.2594593333037339,61
62,1.8053545535714286,1.8051590625,0.004606946707048976,2.7128860360673643,0.004606946707049087,2.712886036067184,1.1102230246251565e-16,1.8030021919912542e-13,5,1.8174751,2.9037664662611267,62,2.557935,0.0,62,2.675015475,0.0,62,2.784490575,0.25860365577022637,62
63,1.8051590625,1.8049635714285714,0.004596348352821189,2.7135287035909306,0.004596348352821078,2.7135287035936,1.1102230246251565e-16,2.6694202404087264e-12,5,1.8174751,2.9243500350646716,63,2.557935,0.0,63,2.675015475,0.0,63,2.784490575,0.2577414724311382,63
64,1.8049635714285714,1.8047680803571429,0.004578832087061224,2.7141718641058405,0.004578832087061224,2.7141718641005443,0.0,5.296207916671847e-12,5,1.8174751,2.945237238356709,64,2.557935,0.0,64,2.675015475,0.0,64,2.784490575,0.2568726654338841,64
65,1.8047680803571429,1.8045725892857143,0.004554217410113748,2.7148155186597744,0.004554217410113859,2.7148155186620397,1.1102230246251565e-16,2.2652990594451694e-12,5,1.8174751,2.966435223993875,65,2.557935,0.0,65,2.675015475,0.0,65,2.784490575,0.25599711365006345,65
66,1.8045725892857143,1.8043770982142857,0.0045223177170757856,2.7154596683045966,0.004522317717075897,2.7154596683094083,1.1102230246251565e-16,4.8117065887254284e-12,5,1.8174751,2.9879513721172235,66,2.557935,0.0,66,2.675015475,0.0,66,2.784490575,0.2551146925533777,66
67,1.8043770982142857,1.8041816071428571,0.0044829400374902795,2.716104314096367,0.0044829400374905015,2.716104314096406,2.220446049250313e-16,3.863576125695545e-14,5,1.8174751,3.0097933048235945,67,2.557935,0.0,67,2.675015475,0.0,67,2.784490575,0.25422527409187573,67
68,1.8041816071428571,1.8039861160714286,0.004435884761623932,2.716749457095398,0.004435884761623932,2.7167494570927553,0.0,2.6427748878177226e-12,5,1.8174751,3.0319688963322036,68,2.557935,0.0,68,2.675015475,0.0,68,2.784490575,0.2533287265541138,68
69,1.8039861160714286,1.803790625,0.004380945352373211,2.7173950983662563,0.004380945352373211,2.717395098371306,0.0,5.049738405205062e-12,5,1.8174751,3.0544862836718907,69,2.557935,0.0,69,2.675015475,0.0,69,2.784490575,0.25242491442901926,69
70,1.803790625,1.8035951339285714,0.004317908041996388,2.718041238977813,0.00431790804199661,2.718041238979028,2.220446049250313e-16,1.2150280781497713e-12,5,1.8174751,3.0773538779252463,70,2.557935,0.0,70,2.675015475,0.0,70,2.784490575,0.2515136982589502,70
71,1.8035951339285714,1.8033996428571428,0.004246551512719243,2.7186878800032623,0.004246551512719243,2.7186878800049157,0.0,1.6533441282717831e-12,5,1.8174751,3.100580376060617,71,2.557935,0.0,71,2.675015475,0.0,71,2.784490575,0.25059493448568965,71
72,1.8033996428571428,1.8032041517857142,0.004166646560144205,2.7193350225201574,0.004166646560143983,2.7193350225156716,2.220446049250313e-16,4.4857451086954825e-12,5,1.8174751,3.124174773390564,72,2.557935,0.0,72,2.675015475,0.0,72,2.784490575,0.249668475288863,72
73,1.8032041517857142,1.8030086607142857,0.0040779557384158505,2.7199826676104397,0.004077955738415628,2.719982667613095,2.220446049250313e-16,2.6552093856935244e-12,5,1.8174751,3.1481463766953928,73,2.557935,0.0,73,2.675015475,0.0,73,2.784490575,0.2487341684163765,73
74,1.8030086607142857,1.802813169642857,0.003980232985987264,2.720630816360461,0.003980232985987042,2.7206308163616275,2.220446049250313e-16,1.1666223542761145e-12,5,1.8174751,3.1725048180534823,74,2.557935,0.0,74,2.675015475,0.0,74,2.784490575,0.24779185700642578,74
75,1.802813169642857,1.8026176785714285,0.003873223230654199,2.721279469861029,0.003873223230654199,2.7212794698611478,0.0,1.1857181902996672e-13,5,1.8174751,3.1972600694252593,75,2.557935,0.0,75,2.675015475,0.0,75,2.784490575,0.24684137940048032,75
76,1.8026176785714285,1.8024221875,0.003756661972572184,2.721928629207408,0.003756661972572406,2.7219286292084943,2.220446049250313e-16,1.0862422072932532e-12,5,1.8174751,3.222422458036679,76,2.557935,0.0,76,2.675015475,0.0,76,2.784490575,0.2458825689468276,76
77,1.8024221875,1.8022266964285714,0.0036302748438019616,2.7225782954993756,0.0036302748438021837,2.7225782955012536,2.220446049250313e-16,1.878053268455915e-12,5,1.8174751,3.2480026826186523,77,2.557935,0.0,77,2.675015475,0.0,77,2.784490575,0.24491525379394416,77
78,1.8022266964285714,1.8020312053571428,0.0034937771427545616,2.723228469841226,0.0034937771427545616,2.72322846984278,0.0,1.553868145265369e-12,5,1.8174751,3.274011830554125,78,2.557935,0.0,78,2.675015475,0.0,78,2.784490575,0.2439392566732128,78
