i,required_margin,required_argmin_y,num_check_points,stored_margin
120,0.006889376129717827120863091637740165005345690218758830402854574940485996451385273336352208,2.75565042071415793797652325901950383203280280883811858753027868888019826939029286847418831,6,0.006889376129718627
121,0.006892590630494660901671875860927331911660676876204911165042648673475747411725517661702305,2.75619428614077088026114517241261476120159178441311158517530057992578727726561421450417896,6,0.006892590630495521
122,0.006890545346545362167754712869332198878512716538183668362123210027917207495624717716223660,2.75673799275668359762126910463863016379953338705999114698862399406391104391079175860475980,6,0.006890545346546206
123,0.006882906223069359376810985508687638389331877399275297573425767814769136045664465383611110,2.75728168941100768997982864942856543161332115455113593368958946172384459319475305994940588,6,0.006882906223069973
124,0.006869323345690517538233988008822277301665871714310232844904142509253830203382510265413454,2.75782552214332754552739848043634640146199074939744863824403772590903811255553685803098762,6,0.006869323345691347
125,0.004840517945589894664232069630069314871942221035691450529175223954213408743666662490035819,2.68369447212661300459648793221660153251815118031456140837888582598113937726354132822061804,6,0.004840517945591372
126,0.004859118892631034831720128919313628499928537658656390297889957855429655280212815291533349,2.68334804631567421684688216932120799709368615058764704224215137734680526329211715403945472,6,0.0048591188926324635
127,0.004878561235198948098773674275482609885852028978760820668517803170822195798900584230774234,2.68302987394763925647255046733039793025843284792634590212680581140942362610864606814504704,6,0.004878561235200474
128,0.004898869516902716334417571652892875420056653123745788091939684540188663616565282766530135,2.68275462976860619882442447275417282286388934049988853850278583084675242118885189652753290,6,0.004898869516904103
129,0.004920073653144094817702185525169609989920507268921474124608047864126280039200684706279779,2.68243340339482824486314342006406247911690840174365780018797057396926810900278067493209706,6,0.004920073653145618
130,0.004942214935727021173681596491077073897465393971025868271670400364102281719796398477095274,2.68210628410611951385737896710972587506649110009449903271180297503443339712813005196656380,6,0.0049422149357284395
131,0.004965398860230512278988377581659329455072519094839390507748003882534311263510136483971367,2.68179425775118513229145304864336981250181582800642052311249771790239236238475989345289022,6,0.004965398860231174
132,0.004989540183024945287847149721110005575126209017287572649576864250892460481876278369100581,2.68147089743738823655207491353286244267570176863305952024324406558012064884553271616076364,6,0.004989540183024999
133,0.005014752976794903656783769742227686175902527261288650339311622849603777852881502768936225,2.68115489703318672679238587699065123510612367650371632274781466047801171638967995190511370,6,0.0050147529767949894
